City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,hargeysa,9.56,44.065,24.5,49,97,13.35,SO,1722667622
343,semirom,31.4167,51.5667,28.64,16,1,3.3,IR,1722667657
344,tonkino,57.3726,46.4629,21.14,63,43,3.74,RU,1722667659
345,kailua-kona,19.6406,-155.9956,26.98,95,0,2.06,US,1722667660
346,dryden,49.7833,-92.7503,17.16,72,20,2.57,CA,1722667661
347,rawson,-43.3002,-65.1023,10.98,47,2,9.14,AR,1722667664
348,la sarre,48.8002,-79.1996,17.59,80,20,1.67,CA,1722667666
349,swakopmund,-22.6833,14.5333,10.55,90,80,0.45,NA,1722667667
350,hirara,24.8,125.2833,31.92,74,40,3.09,JP,1722667668
351,kapoeta,4.7717,33.5903,29.35,42,100,5.12,SS,1722667670
352,lintong,34.378,109.2089,33.38,38,84,1.72,CN,1722667671
353,dakhla,23.6848,-15.958,20.01,94,40,11.32,EH,1722667673
354,remire-montjoly,4.9167,-52.2667,23.02,100,20,0.0,GF,1722667674
355,vilyuysk,63.7553,121.6247,22.33,30,26,1.47,RU,1722667676
356,arinos,-15.9169,-46.1056,16.25,77,0,0.58,BR,1722667678
357,iowa park,33.9515,-98.6687,28.86,58,0,2.06,US,1722667681
358,cartagena,10.3997,-75.5144,27.79,89,20,1.54,CO,1722667087
359,mount pearl,47.5166,-52.7813,12.2,95,100,4.63,CA,1722667657
360,mayya,61.7333,130.2811,21.62,28,13,0.43,RU,1722667685
